dataset,feature,existing,auc
duplicate,loss_mean,1,0.3827759026822454
duplicate,loss_last,1,0.38241609281690114
duplicate,loss_std,1,0.5295329184830762
duplicate,loss_slope,1,0.47403718559588326
duplicate,loss_curvature,1,0.7651640945520028
duplicate,converge_epoch,1,0.46091835686640903
duplicate,grad_norm_mean,1,0.33950537238354894
duplicate,grad_norm_cv,1,0.5733279491371351
duplicate,cos_sim_ref_mean,1,0.46532974940361727
duplicate,cos_sim_ref_std,0,0.33390467856751294
duplicate,cos_sim_global_mean,1,0.6005542487544355
duplicate,cos_sim_global_std,0,0.5401504149256152
duplicate,update_contrib_mean,1,0.33822707831861404
duplicate,tokens,0,0.5200278241727251
duplicate,first_step,0,0.9999981742668815
duplicate,ln_mean,0,0.33382152593344516
duplicate,ln_std,0,0.496418296279529
duplicate,ln_first10,0,0.2919174763765302
duplicate,max_token_loss,1,0.3841281870838521
duplicate,max_token_loss_std,0,0.5359142772935876
duplicate,max_token_loss_curv,0,0.7043733496935467
duplicate,frac_hard,1,0.37449250257132033
duplicate,frac_hard_std,0,0.4610813379286285
duplicate,frac_hard_curv,0,0.6330831183047931
duplicate,mean_loss,0,0.3721497440709264
duplicate,mean_loss_std,0,0.504222378606615
duplicate,mean_loss_curv,0,0.6644802925591102
duplicate,user_loss,1,0.45854831604419743
duplicate,user_loss_std,0,0.49100240780636173
duplicate,user_loss_curv,0,0.47635642775675724
duplicate,entropy,1,0.41410286484178105
duplicate,entropy_std,0,0.519439782986581
duplicate,entropy_curv,0,0.5208893460124987
duplicate,token_loss_skew,1,0.6144578680822503
duplicate,token_loss_skew_std,0,0.6279974373055098
duplicate,token_loss_skew_curv,0,0.42539813289401424
duplicate,token_loss_kurt,0,0.6246964427359815
duplicate,token_loss_kurt_std,0,0.6473213740923792
duplicate,token_loss_kurt_curv,0,0.4327201171517482
duplicate,n_hard,0,0.5329249294766536
duplicate,hard_loss_mean,0,0.40306573557805087
duplicate,hard_loss_max,0,0.3841281870838521
duplicate,hard_pos_std_mean,0,0.5347353795629657
duplicate,hard_pos_peak,0,0.5447800694106113
duplicate,hard_pos_jaccard,0,0.3717738200496821
duplicate,hard_id_uniq,0,0.5576938113883927
garbled,loss_mean,1,0.9566258766759838
garbled,loss_last,1,0.865574082323768
garbled,loss_std,1,0.8043294685342806
garbled,loss_slope,1,0.18412718750123197
garbled,loss_curvature,1,0.7138928750241468
garbled,converge_epoch,1,0.9405712734125217
